,ask,bid,high,last,low,open,timestamp,volume,vwap,date
0,6017.84,6014.00,6814.87,6015.59,6015.59,6355.13,1510463038,18355.36303985,6363.85,2017-11-11 21:03:58
1,5672.00,5660.07,6778.88,5660.07,5555.55,6355.13,1510469735,23681.44942367,6207.96,2017-11-11 22:55:35
2,5645.02,5645.01,6778.88,5645.01,5555.55,6355.13,1510469831,23808.16429757,6205.0,2017-11-11 22:57:11
3,5864.79,5855.01,6778.88,5851.01,5555.55,6355.13,1510470457,24529.02242514,6191.8,2017-11-11 23:07:37
4,5950.00,5935.15,6778.88,5950.00,5555.55,6355.13,1510472127,26379.45305255,6173.0,2017-11-11 23:35:27
5,5997.61,5989.82,6778.88,5997.61,5555.55,6355.13,1510472654,26551.87774528,6170.1,2017-11-11 23:44:14
6,6020.00,6018.11,6778.88,6018.92,5555.55,6355.13,1510472705,26556.16973486,6170.07,2017-11-11 23:45:05
7,6204.41,6200.20,6778.88,6204.41,5555.55,6355.13,1510473297,27055.53485190,6168.82,2017-11-11 23:54:57
