,ask,bid,high,last,low,open,timestamp,volume,vwap,date
0,439.13,437.20,519.23,439.10,403.00,424.00,1512028054,117572.48654888,465.67,2017-11-29 23:47:34
1,439.76,437.42,519.23,440.00,403.00,424.00,1512028133,117580.71486859,465.67,2017-11-29 23:48:53
2,441.00,439.55,519.23,441.00,403.00,424.00,1512028652,117608.86792569,465.63,2017-11-29 23:57:32
