,ask,bid,high,last,low,open,timestamp,volume,vwap,date
0,87.87,86.81,103.65,87.03,78.19,84.82,1512028160,174784.18992620,93.02,2017-11-29 23:49:20
1,87.93,87.54,103.65,87.95,78.19,84.82,1512028489,174557.00729325,93.00,2017-11-29 23:54:49
2,87.84,87.50,103.65,87.92,78.19,84.82,1512028624,174529.71206898,93.00,2017-11-29 23:57:04
